20201222,吴中,南双湖,建发独墅湾,33732元/m2,97套在售二手房
20201222,吴中,南双湖,正荣国领,33923元/m2,87套在售二手房
20201222,吴中,南双湖,阳光城愉景湾,34214元/m2,87套在售二手房
20201222,吴中,南双湖,尹东新村,20349元/m2,11套在售二手房
20201222,吴中,南双湖,尹东八村二区,暂无,0套在售二手房
20201222,吴中,南双湖,尹东五村,暂无,0套在售二手房
20201222,吴中,南双湖,尹东二村,21003元/m2,0套在售二手房
20201222,吴中,南双湖,尹东九村（B区）,暂无,0套在售二手房
20201222,吴中,南双湖,尹东三村,暂无,0套在售二手房
20201222,吴中,南双湖,尹东八村三区,暂无,0套在售二手房
20201222,吴中,南双湖,尹东八村一区,暂无,0套在售二手房
20201222,吴中,南双湖,尹东新村六期,暂无,0套在售二手房
20201222,吴中,南双湖,尹东九村（A区）,暂无,0套在售二手房
20201222,吴中,南双湖,尹东九村C区,暂无,0套在售二手房
